duplicate_group_id,filepath,class_name,source_subfolder
0,data\raw\casting_data\test\ok_front\cast_ok_0_1001.jpeg,normal,test
0,data\raw\casting_data\train\ok_front\cast_ok_0_1001.jpeg,normal,train
1,data\raw\casting_data\test\ok_front\cast_ok_0_1002.jpeg,normal,test
1,data\raw\casting_data\train\ok_front\cast_ok_0_1002.jpeg,normal,train
2,data\raw\casting_data\test\ok_front\cast_ok_0_1003.jpeg,normal,test
2,data\raw\casting_data\train\ok_front\cast_ok_0_1003.jpeg,normal,train
3,data\raw\casting_data\test\ok_front\cast_ok_0_1019.jpeg,normal,test
3,data\raw\casting_data\train\ok_front\cast_ok_0_1019.jpeg,normal,train
4,data\raw\casting_data\test\ok_front\cast_ok_0_1020.jpeg,normal,test
4,data\raw\casting_data\train\ok_front\cast_ok_0_1020.jpeg,normal,train
5,data\raw\casting_data\test\ok_front\cast_ok_0_1021.jpeg,normal,test
5,data\raw\casting_data\train\ok_front\cast_ok_0_1021.jpeg,normal,train
6,data\raw\casting_data\test\ok_front\cast_ok_0_1022.jpeg,normal,test
6,data\raw\casting_data\train\ok_front\cast_ok_0_1022.jpeg,normal,train
7,data\raw\casting_data\test\ok_front\cast_ok_0_1026.jpeg,normal,test
7,data\raw\casting_data\train\ok_front\cast_ok_0_1026.jpeg,normal,train
8,data\raw\casting_data\test\ok_front\cast_ok_0_1028.jpeg,normal,test
8,data\raw\casting_data\train\ok_front\cast_ok_0_1028.jpeg,normal,train
9,data\raw\casting_data\test\ok_front\cast_ok_0_1031.jpeg,normal,test
9,data\raw\casting_data\train\ok_front\cast_ok_0_1031.jpeg,normal,train
10,data\raw\casting_data\test\ok_front\cast_ok_0_1040.jpeg,normal,test
10,data\raw\casting_data\train\ok_front\cast_ok_0_1040.jpeg,normal,train
11,data\raw\casting_data\test\ok_front\cast_ok_0_1066.jpeg,normal,test
11,data\raw\casting_data\train\ok_front\cast_ok_0_1066.jpeg,normal,train
12,data\raw\casting_data\test\ok_front\cast_ok_0_1069.jpeg,normal,test
12,data\raw\casting_data\train\ok_front\cast_ok_0_1069.jpeg,normal,train
13,data\raw\casting_data\test\ok_front\cast_ok_0_1077.jpeg,normal,test
13,data\raw\casting_data\train\ok_front\cast_ok_0_1077.jpeg,normal,train
14,data\raw\casting_data\test\ok_front\cast_ok_0_1088.jpeg,normal,test
14,data\raw\casting_data\train\ok_front\cast_ok_0_1088.jpeg,normal,train
