filepath,class_name
data\raw\casting_data\test\ok_front\cast_ok_0_1001.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1002.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1019.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1020.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1021.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1022.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1026.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1028.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1031.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1069.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1088.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1092.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1093.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1095.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1096.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1120.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1134.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1137.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1144.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1145.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1165.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1169.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1170.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1171.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1173.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1174.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1176.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1180.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1200.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1203.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1209.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1210.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1213.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1218.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1315.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1316.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1318.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1323.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1328.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1331.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1333.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1343.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1347.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1351.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1376.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1381.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1384.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_14.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1415.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1420.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1426.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1430.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1431.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_16.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1865.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1891.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_1925.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2012.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2272.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2273.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2286.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2291.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2303.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2340.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_238.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_246.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_259.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_268.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2686.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2687.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2699.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2700.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2722.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2724.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2726.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2729.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2730.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2752.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2755.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2761.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2768.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2769.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2784.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2786.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2798.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2801.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2805.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2807.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2810.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2840.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2844.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2848.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2867.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2868.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2869.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2884.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2885.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2892.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2894.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2900.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2914.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2915.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2917.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2926.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2927.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_2932.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_3264.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_3278.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_3292.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_3294.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_4476.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_4497.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_4498.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_45.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_49.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_4992.jpeg,normal
data\raw\casting_data\test\ok_front\cast_ok_0_5009.jpeg,normal
